Position,Ticker,Final_Rank_Sharpe,Rank_Sharpe_3M,Sharpe_3M,Rank_Sharpe_6M,Sharpe_6M,Rank_Sharpe_9M,Sharpe_9M,Rank_Sharpe_12M,Sharpe_12M
1,BHARTIARTL.NS,9.0,4.0,1.44,2.0,1.91,1.0,2.31,2.0,2.64
2,DIVISLAB.NS,14.0,2.0,1.93,1.0,2.4,5.0,1.87,6.0,1.89
3,SUNPHARMA.NS,15.0,1.0,2.18,7.0,1.45,4.0,2.03,3.0,2.62
4,BAJAJ-AUTO.NS,18.0,5.0,1.37,9.0,1.39,3.0,2.27,1.0,3.28
5,M&M.NS,23.0,13.0,0.69,3.0,1.66,3.0,2.27,4.0,2.21
6,SHRIRAMFIN.NS,32.0,7.0,1.09,11.0,1.21,6.0,1.42,8.0,1.77
7,HCLTECH.NS,34.0,3.0,1.51,12.0,1.17,10.0,1.13,9.0,1.63
8,INFY.NS,44.0,9.0,0.92,5.0,1.6,12.0,1.04,18.0,1.03
9,BPCL.NS,46.0,15.0,0.64,19.0,0.61,7.0,1.33,5.0,1.99
10,TECHM.NS,48.0,15.0,0.64,7.0,1.45,9.0,1.21,17.0,1.13
11,NTPC.NS,50.0,12.0,0.8,17.0,0.64,14.0,1.0,7.0,1.86
12,BRITANNIA.NS,54.0,18.0,0.3,4.0,1.63,18.0,0.76,14.0,1.32
13,GRASIM.NS,56.0,24.0,-0.28,13.0,1.11,8.0,1.27,11.0,1.51
14,APOLLOHOSP.NS,59.0,10.0,0.82,22.0,0.54,14.0,1.0,13.0,1.36
15,HINDALCO.NS,60.0,17.0,0.36,14.0,0.89,17.0,0.82,12.0,1.4
16,LTIM.NS,63.0,8.0,0.94,8.0,1.41,24.0,0.27,23.0,0.63
17,ICICIBANK.NS,67.0,22.0,-0.11,18.0,0.62,11.0,1.1,16.0,1.15
18,HDFCLIFE.NS,72.0,11.0,0.81,15.0,0.83,22.0,0.43,24.0,0.48
19,COALINDIA.NS,74.0,23.0,-0.27,25.0,0.34,16.0,0.86,10.0,1.55
20,BAJAJFINSV.NS,75.0,6.0,1.13,24.0,0.44,23.0,0.32,22.0,0.66
21,ULTRACEMCO.NS,78.0,26.0,-0.39,16.0,0.82,21.0,0.5,15.0,1.25
22,HINDUNILVR.NS,81.0,20.0,0.25,10.0,1.34,25.0,0.24,26.0,0.27
23,DRREDDY.NS,82.0,21.0,-0.04,21.0,0.55,19.0,0.68,21.0,0.86
24,SBIN.NS,87.0,27.0,-0.91,26.0,0.19,15.0,0.9,19.0,1.0
25,HDFCBANK.NS,88.0,16.0,0.39,20.0,0.59,27.0,-0.03,25.0,0.28
26,WIPRO.NS,89.0,25.0,-0.31,23.0,0.53,20.0,0.59,21.0,0.86
27,KOTAKBANK.NS,99.0,19.0,0.28,27.0,0.11,26.0,0.01,27.0,0.18
